,Date,Duration,Distance,id,Game Day,Days Before Match,Days After Match
739,2020-02-08 00:00:00,110.0,10676.407958984399,44,1,0,0
621,2020-02-15 00:00:00,110.0,11512.662750244099,44,1,0,0
1431,2020-02-20 00:00:00,110.0,11510.918609619099,44,1,0,0
222,2020-02-23 00:00:00,37.0,4369.14436340332,44,1,0,0
1257,2020-02-27 00:00:00,110.0,12330.2898578644,44,1,0,0
1523,2020-03-01 00:00:00,110.0,13245.467041015601,44,1,0,0
405,2020-03-07 00:00:00,25.0666675567627,1283.08110809326,44,1,0,0
406,2020-03-07 00:00:00,96.0,9599.74282836914,44,1,0,0
577,2020-06-16 00:00:00,107.0,10328.8652648926,44,1,0,0
1258,2020-06-20 00:00:00,110.0,10965.4704360962,44,1,0,0
303,2020-06-23 00:00:00,110.0,11534.605003356899,44,1,0,0
1650,2020-06-29 00:00:00,17.6833324432373,1238.0876159667998,44,1,0,0
1651,2020-06-29 00:00:00,110.0,11321.677658081102,44,1,0,0
1377,2020-07-02 00:00:00,17.266666412353498,1289.52028083801,44,1,0,0
1378,2020-07-02 00:00:00,99.0,10790.4981842041,44,1,0,0
1276,2020-07-05 00:00:00,110.0,12482.116607666001,44,1,0,0
1601,2020-07-08 00:00:00,110.0,11645.458999633798,44,1,0,0
1602,2020-07-08 00:00:00,16.4500007629395,1193.44569754601,44,1,0,0
585,2020-07-13 00:00:00,110.0,12526.0349578857,44,1,0,0
47,2020-07-16 00:00:00,17.3166675567627,1106.0231361389199,44,1,0,0
48,2020-07-16 00:00:00,99.0,9617.11558532715,44,1,0,0
339,2020-07-19 00:00:00,110.0,12327.9287109375,44,1,0,0
543,2020-09-12 00:00:00,84.283332824707,9366.1319732666,44,1,0,0
638,2020-09-19 00:00:00,115.333335876465,11247.6056671143,44,1,0,0
1510,2020-09-26 00:00:00,111.233329772949,11848.067779541001,44,1,0,0
1035,2020-09-29 00:00:00,110.166664123535,10291.0417175293,44,1,0,0
778,2020-10-03 00:00:00,106.183334350586,11483.0711364746,44,1,0,0
1629,2020-10-08 00:00:00,19.0,1937.3853005703197,44,1,0,0
455,2020-10-13 00:00:00,7.0,728.285865506259,44,1,0,0
892,2020-10-17 00:00:00,117.449996948242,12814.207427978501,44,1,0,0
1366,2020-10-25 00:00:00,118.366668701172,12056.58203125,44,1,0,0
757,2020-11-01 00:00:00,117.583335876465,11256.9872741699,44,1,0,0
202,2020-11-08 00:00:00,110.766670227051,11257.722610473602,44,1,0,0
1156,2020-11-13 00:00:00,17.0,1729.09126848679,44,1,0,0
280,2020-11-17 00:00:00,35.0,3599.42333097544,44,1,0,0
719,2020-11-22 00:00:00,110.690673828125,9796.92532101787,44,1,0,0
673,2020-11-29 00:00:00,113.516670227051,11132.0098266602,44,1,0,0
578,2020-12-05 00:00:00,103.550003051758,11807.3396453857,44,1,0,0
544,2020-12-12 00:00:00,113.233329772949,12417.841125488301,44,1,0,0
762,2020-12-20 00:00:00,114.366668701172,10821.6870727539,44,1,0,0
148,2020-12-23 00:00:00,111.21666717529301,12142.9523620605,44,1,0,0
377,2021-01-02 00:00:00,113.733329772949,11326.5585632324,44,1,0,0
378,2021-01-05 00:00:00,71.5166702270508,6537.98907470703,44,1,0,0
488,2021-01-11 00:00:00,113.395332336426,10821.047949839,44,1,0,0
1386,2021-01-20 00:00:00,113.349998474121,11545.5233764648,44,1,0,0
940,2021-01-25 00:00:00,104.28333282470699,11657.8394012451,44,1,0,0
228,2021-01-31 00:00:00,110.96666717529301,11305.3143005371,44,1,0,0
1511,2021-02-09 00:00:00,109.150001525879,11868.785522460901,44,1,0,0
